tipo_inmueble,valor_venta,area,nro_cuartos,nro_banos,nro_garajes,zona,barrio,nombre_comun_barrio
Apartamento,350000000,60.0,1,2,1.0,Noroccidente,MAZUREN,MAZUREN COLINA
Apartamento,330000000,60.0,1,2,1.0,Noroccidente,MAZUREN,MAZUREN II
Casa,2500000000,540.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,800000000,0.0,3,3,2.0,Norte,CHICO NORTE III,Chico Norte III
Apartamento,1700000000,285.0,4,2,3.0,Norte,CHICO NORTE,CHICO NORTE
Apartamento,750000000,119.0,3,3,2.0,Noroccidente,ESCUELA DE CARABINEROS,COLINA CAMPESTRE
Casa,1500000000,225.0,4,3,4.0,Occidental,LA ESMERALDA,La Esmeralda-Teusaquillo
Apartamento,450000000,85.0,3,2,2.0,Noroccidente,EL PLAN,COLINA GRATAMIRA
Apartamento,690000000,0.0,1,2,0.0,Chapinero,BELALCAZAR,BELALCAZAR
Apartamento,370781000,94.0,3,3,0.0,Centro,SANTA BARBARA,
Apartamento,64900000,0.0,3,1,0.0,Sur,MIRADOR DE USME,Mirador de Usme
Apartamento,1350000000,198.0,3,5,2.0,Norte,SANTA BARBARA CENTRAL,SANTA BARBARA CENTRAL
Casa,331200000,95.0,3,3,0.0,Noroccidente,NUEVA ZELANDIA,
Apartamento,5672800000,340.0,4,0,0.0,Norte,EL REFUGIO,EL REFUGIO
Casa,890000000,150.0,3,4,2.0,Noroccidente,CASA BLANCA SUBA,COLINA CAMPESTRE DELMONTE
Apartamento,310000000,60.0,2,2,1.0,Norte,CONTADOR,BELLA SUIZA
Apartamento,258200000,49.0,2,2,1.0,Norte,EL CODITO,EL REDIL
Apartamento,750000000,150.0,3,4,2.0,Noroccidente,NIZA SUBA,RESERVA DE GRATAMIRA
Apartamento,425000000,53.0,2,2,2.0,Chapinero,INGEMAR,CHAPINERO EL CASTILLO
Apartamento,325000000,0.0,3,2,1.0,Norte,EL REDIL,El Redil-Usaquén
Apartamento,230000000,0.0,3,2,0.0,Sur,LA ALEJANDRA,LA ALEJANDRA
Apartamento,498900000,73.0,2,2,2.0,Norte,CEDRITOS,CEDRITOS
Apartamento,780000000,155.0,4,4,2.0,Guaymaral,CONEJERA,CONEJERA
Apartamento,250000000,60.0,3,2,1.0,Sur,EL PROGRESO,EL PROGRESO
Casa,650000000,270.0,1,4,0.0,Occidental,LA CABAÃ¿A,La CabaÃ¿a Engativa
Apartamento,3613875000,280.0,1,4,3.0,Norte,EL REFUGIO,EL REFUGIO
Casa,490000000,100.0,3,3,3.0,Noroccidente,SANTA CATALINA,TEJARES DEL NORTE 6
Apartamento,340000000,74.0,3,2,1.0,Chapinero,SANTA TERESITA,SANTA TERESITA
Apartamento,634000000,80.0,1,2,2.0,Norte,LA CAROLINA,La Carolina
Apartamento,460000000,56.0,1,2,2.0,Norte,SAN PATRICIO,SAN PATRICIO
Apartamento,600000000,130.0,3,3,2.0,Norte,EL CONTADOR,EL CONTADOR
Apartamento,800000000,140.0,3,3,2.0,Norte,SANTA ANA OCCIDENTAL,ALTOS DE SANTA ANA
Apartamento,1300000000,172.0,3,4,2.0,Norte,CERROS DE LOS ALPES,CERROS DE LOS ALPES
Apartamento,630000000,95.0,3,2,1.0,Norte,SANTA BARBARA CENTRAL,SANTA BARBARA
Apartamento,463000000,77.0,2,2,1.0,Centro,SAMPER,CHAPINERO NORTE
Apartamento,670000000,86.0,2,3,2.0,Norte,SANTA BARBARA CENTRAL,Santa Barbara Central
Casa,850000000,181.0,4,3,2.0,Noroccidente,POTOSI,SAN NICOLAS
Apartamento,437904000,73.0,2,2,1.0,Norte,LOS CEDROS,Nueva Autopista-Usaquén
Apartamento,770000000,145.0,3,3,2.0,,COLINA CAMPESTRE,COLINA CAMPESTRE
