mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model_gdb__n_estimators,param_model_gdb__min_samples_split,param_model_gdb__min_samples_leaf,param_model_gdb__max_features,param_model_gdb__max_depth,param_model_gdb__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15.345873689651489,0.5165075697814292,0.33394622802734375,0.034053952373519,400,2,100,15,6,0.01,"{'model_gdb__n_estimators': 400, 'model_gdb__min_samples_split': 2, 'model_gdb__min_samples_leaf': 100, 'model_gdb__max_features': 15, 'model_gdb__max_depth': 6, 'model_gdb__learning_rate': 0.01}",0.816616490975648,0.7480178836180709,0.7579082801607957,0.7993314562371661,0.8002469082229056,0.7844242038429172,0.02659865357385097,69,0.7965506137700002,0.8013226679996169,0.8014070561396984,0.7992705285978063,0.7992537450593831,0.7995609223133011,0.0017749705276096529
6.708428287506104,0.3525172527599126,0.13790059089660645,0.012474378263136294,200,5,100,15,5,0.01,"{'model_gdb__n_estimators': 200, 'model_gdb__min_samples_split': 5, 'model_gdb__min_samples_leaf': 100, 'model_gdb__max_features': 15, 'model_gdb__max_depth': 5, 'model_gdb__learning_rate': 0.01}",0.7233693450289308,0.651011770598172,0.6537126732807266,0.6907729140847196,0.6953014255546021,0.6828336257094302,0.027284732751893834,86,0.6918812499300292,0.6996519097729219,0.69509574072633,0.6941075654322117,0.6915100905015321,0.6944493112726049,0.0029269660132604037
9.26744465827942,0.16773782664954515,0.231773042678833,0.016177482742510945,200,8,50,sqrt,10,0.1,"{'model_gdb__n_estimators': 200, 'model_gdb__min_samples_split': 8, 'model_gdb__min_samples_leaf': 50, 'model_gdb__max_features': 'sqrt', 'model_gdb__max_depth': 10, 'model_gdb__learning_rate': 0.1}",0.888802557575929,0.847548229750035,0.845719044318129,0.8771403525572532,0.885400739913465,0.8689221848229624,0.01859861265967503,10,0.9151160321704516,0.9164107927829551,0.9185952010117525,0.9161052543973538,0.9111727112648302,0.9154799983254687,0.0024350361163189348
1.9255602836608887,0.11050537883982602,0.0697474479675293,0.00977046902526266,100,8,50,log2,6,0.2,"{'model_gdb__n_estimators': 100, 'model_gdb__min_samples_split': 8, 'model_gdb__min_samples_leaf': 50, 'model_gdb__max_features': 'log2', 'model_gdb__max_depth': 6, 'model_gdb__learning_rate': 0.2}",0.8661362316884492,0.8279756544112705,0.8157776398200355,0.843917772478799,0.8626095783495485,0.8432833753496205,0.019427040084917493,41,0.8786577960606967,0.8727105285637402,0.8748055348937114,0.8672213262894621,0.8697290680321771,0.8726248507679575,0.0039684452191943356
1.6827123165130615,0.18521408447100535,0.05607624053955078,0.006032111084519126,100,5,50,log2,5,0.2,"{'model_gdb__n_estimators': 100, 'model_gdb__min_samples_split': 5, 'model_gdb__min_samples_leaf': 50, 'model_gdb__max_features': 'log2', 'model_gdb__max_depth': 5, 'model_gdb__learning_rate': 0.2}",0.8460100379790017,0.8070948198580307,0.8125679263911483,0.8476558807103594,0.8600643567204855,0.8346786043318051,0.020933202143660117,46,0.8553966876463519,0.8567105680082221,0.8604492591891926,0.8613947292137288,0.8622764102202376,0.8592455308555464,0.0027016245443667675
18.73653130531311,0.6779813994640718,0.42644076347351073,0.04575429835032346,400,5,100,15,8,0.1,"{'model_gdb__n_estimators': 400, 'model_gdb__min_samples_split': 5, 'model_gdb__min_samples_leaf': 100, 'model_gdb__max_features': 15, 'model_gdb__max_depth': 8, 'model_gdb__learning_rate': 0.1}",0.8793461115350977,0.8392833165581731,0.8400000180210001,0.8782411535097576,0.8809022447148411,0.8635545688677739,0.019544416081451667,12,0.9167563419514119,0.9146466713986123,0.9150282594362081,0.9168286755054637,0.9139374657238738,0.9154394828031138,0.0011591103715905477
5.8987743854522705,0.2788620653849458,0.11015596389770507,0.010650739584104028,100,2,150,15,10,0.1,"{'model_gdb__n_estimators': 100, 'model_gdb__min_samples_split': 2, 'model_gdb__min_samples_leaf': 150, 'model_gdb__max_features': 15, 'model_gdb__max_depth': 10, 'model_gdb__learning_rate': 0.1}",0.8499348520298428,0.7884299037749027,0.7870410893507338,0.828251466770112,0.8309470374307553,0.8169208698712694,0.024978291588966316,60,0.8342428800080429,0.8454252547123245,0.8408893477476709,0.8440156766213525,0.830173138826012,0.8389492595830805,0.00584022843479686
3.1225168228149416,0.13246678342637336,0.10080275535583497,0.006936366146715792,300,10,50,log2,3,0.01,"{'model_gdb__n_estimators': 300, 'model_gdb__min_samples_split': 10, 'model_gdb__min_samples_leaf': 50, 'model_gdb__max_features': 'log2', 'model_gdb__max_depth': 3, 'model_gdb__learning_rate': 0.01}",0.6681505641986061,0.6032957139402677,0.602852189094107,0.6244396320272311,0.6454640042344599,0.6288404206989344,0.02517505939533327,88,0.6466770080446284,0.6377819632703813,0.6400667067807383,0.629432911862627,0.6369209252830299,0.638175903048281,0.005550026622024565
7.737040233612061,0.12692729249797519,0.1969517707824707,0.0074359311693424175,200,10,150,sqrt,10,0.1,"{'model_gdb__n_estimators': 200, 'model_gdb__min_samples_split': 10, 'model_gdb__min_samples_leaf': 150, 'model_gdb__max_features': 'sqrt', 'model_gdb__max_depth': 10, 'model_gdb__learning_rate': 0.1}",0.8556981373083856,0.8056455538930976,0.8059930729882657,0.8381829920101194,0.8434656244101221,0.829797076121998,0.020385996955421287,50,0.8550850072088614,0.8681488730542922,0.8645833819324922,0.8610078373508196,0.8563812931891407,0.8610412785471212,0.004904246041466567
9.618166446685791,0.3769675043624277,0.2138050079345703,0.0345053594402952,400,8,150,15,4,0.2,"{'model_gdb__n_estimators': 400, 'model_gdb__min_samples_split': 8, 'model_gdb__min_samples_leaf': 150, 'model_gdb__max_features': 15, 'model_gdb__max_depth': 4, 'model_gdb__learning_rate': 0.2}",0.8667866414377646,0.8325106820497411,0.8322469559586907,0.859081091723279,0.8613581904376917,0.8503967123214334,0.014923310352824425,30,0.891968601058239,0.8944289203002117,0.8952720452373232,0.8926464237700519,0.8874613789841732,0.8923554738699998,0.0027200020517618366
